,year,artist,title,lyric_url,lyric
40,1958,Buddy Holly,Early In The Morning,https://genius.com/buddy-holly-early-in-the-morning-lyrics,"  [Verse 1] Well, you gonna miss me Early in the morning One of these days, oh yeah Well, you gonna want me Early in the morning When I'm away  [Verse 2] Hey hey, don't you know Yes, you'll be sorry for the times I cried You'll be sorry for the time you lied Well, you gonna miss me Early in the morning For one of these days, oh yeah  [Break] Well, you know a rollin' stone Don't gather no moss And you cross your bridge When it's time to cross Well, you broke my heart When you said goodbye And now the milk is spilt But you gonna cry  [Verse 3] Yeah, early in the morning You gonna know that I was right Oh yeah, yeah Early in the morning When there's nobody to hold you tight Oh, oh oh  [Verse 4] Well, you gonna want me And want me back You gonna miss the best man you ever had Yes, you gonna miss me You gonna want me One of this days, oh yeah  [Verse 5] Well, you gonna want me I want you back Miss the best man you ever had Yes, you gonna want me And you gonna miss me For one of this days Yeah yeah yeah  "
41,1958,The Slades,You Cheated,https://genius.com/the-slades-you-cheated-lyrics,
42,1958,Clyde McPhatter,Come What May,https://genius.com/clyde-mcphatter-come-what-may-lyrics,"  I am yours and you are mine Come what may Love like ours remains divine Come what may  Even though we're miles apart You're living in my lonely heart At night the teardrops start And fall the long, long day  I got your picture near me Since you went away I plant a kiss upon your lips Each night and day  Bear in mind that you will find A heart that is true And I'll be here for you Come what may  I got your picture near me Since you went away I plant a kiss upon your lips Each night and day  Bear in mind that you will find A heart that is true And I'll be here for you Come what may  And I'll be here for you Come what may And I'll be here for you Come what may  "
43,1958,Jan & Arnie,Jennie Lee,https://genius.com/jan-&-arnie-jennie-lee-lyrics,
44,1958,The Diamonds,Kathy-O,https://genius.com/the-diamonds-kathy-o-lyrics,"  Kathy-O, Kathy-O How do your secrets grow? Why do you do the things that you do? Kathy-O, Kathy-O Why do you taunt me so? I never know just what you will do As you dream by the window? Bewitched by a star Are you angel or devil I wonder what you are Kathy-O, Kathy-O Strange little Kathy-O I'll always love you My Kathy-O  "
45,1958,Gino & Gina,(It's Been A Long Time) Pretty Baby,https://genius.com/gino-&-gina-(it's-been-a-long-time)-pretty-baby-lyrics,
46,1958,Dion & The Belmonts,I Wonder Why,https://genius.com/dion-&-the-belmonts-i-wonder-why-lyrics,
47,1958,Dean Martin,Return To Me,https://genius.com/dean-martin-return-to-me-lyrics,"  Return to me Oh my dear I am so lonely Hurry back, hurry back, oh my love Hurry back, I'm yours  Return to me For my heart wants you only Hurry home, hurry home, won't you please Hurry home to my heart?  My darling If I've hurt you I'm sorry Forgive me And please say you are mine  Return to me Please come back bella mia Hurry back, hurry home to my arms To my lips and my heart  Ritorna me Cara mia ti amo Solo tu, solo tu, solo tu Solo tu, mi amor  "
48,1958,The Everly Brothers,All I Have To Do Is Dream,https://genius.com/the-everly-brothers-all-i-have-to-do-is-dream-lyrics,"  Dream, dream, dream, dream Dream, dream, dream, dream When I want you in my arms When I want you and all your charms Whenever I want you, all I have to do is Dream, dream, dream, dream  When I feel blue in the night And I need you to hold me tight Whenever I want you, all I have to do is Dream  I can make you mine, taste your lips of wine Anytime night or day Only trouble is, gee whiz I’m dreamin’ my life away  I need you so that I could die I love you so and that is why Whenever I want you, all I have to do is Dream, dream, dream, dream Dream  I can make you mine, taste your lips of wine Anytime night or day Only trouble is, gee whiz I’m dreamin’ my life away  I need you so that I could die I love you so and that is why Whenever I want you, all I have to do is Dream, dream, dream, dream Dream, dream, dream, dream  "
49,1958,Jimmy Bowen with the Rhythm Orchids,By The Light Of The Silvery Moon,https://genius.com/jimmy-bowen-with-the-rhythm-orchids-by-the-light-of-the-silvery-moon-lyrics,
